0.003603	{:process 0, :type :invoke, :f :read, :value nil}
0.006407	0.010014	{:process 0, :type :ok, :f :read, :value 056483725841460676298075252363561109691477724703324351178324972004963223107577132769176938447847355898108885898087994799753439384873886694295213903694789144273770260829460911303882260194513001059331480591623022440579152753888713053023397710156124249614914907505037588359585317733824537937700205963011989431416718462167959979687980000244505186225651548455315336356472843583307882137974628453018858252522054762075994557312835710747119427893112803369212606297483297331242774274502626916537475814750896073490143517108973611314081261898339563026058055437778179315496442318842548343186855874725566120374458622486997872351853501215452818672040739638096491941164811192180384479533464203397424817228456485044220786106437190791415360120855377345157790629600962410632717444190805596769841849081054325262991994563351436510720845299927118307975430673455629603245337150902912655732279731803447973800020213678162699585975231240521543786055082241421930653997961235706321131376610923080372398412294849152201083287586835084858279773601023352}
0.018567	{:process 0, :type :invoke, :f :read, :value nil}
0.009551	0.02815	{:process 0, :type :ok, :f :read, :value 501979325152745332154382064307367656508124598143588918116867523480061093644658906920753432304644662991256823736538705169319976564853909783376959922430582591357955367445975580772138198368515400158892681161338762773619680142368147608936161947314897755980238272133946555871524014901722945782997492369856929322922394580078568419847842455589903234884101158921007881256926928461961372719701032712039832646582690058229311516987303388542392582587521652023613673903979309579749621706129492779281770702859756638910543694181239406678955040806819973252663716876636441176258040939276755046623408043450295211404333228722306866692930179793843598010984314093882177194283587957968079422144432849570990259266152171046550913199246358395413148568982539740151285130181653969937728193078003123858069246732657642461768598123638757871467852518754943904838111187066205182563330046548921953383290012521797222447193905302630959152436725458892724024756939226164609271836838210812319902147983545482687480213515946968395003369027486154497749465253382813}
0.032073	{:process 0, :type :invoke, :f :read, :value nil}
0.007073	0.039149	{:process 0, :type :ok, :f :read, :value 501979325152745332154382064307367656508124598143588918116867523480061093644658906920753432304644662991256823736538705169319976564853909783376959922430582591357955367445975580772138198368515400158892681161338762773619680142368147608936161947314897755980238272133946555871524014901722945782997492369856929322922394580078568419847842455589903234884101158921007881256926928461961372719701032712039832646582690058229311516987303388542392582587521652023613673903979309579749621706129492779281770702859756638910543694181239406678955040806819973252663716876636441176258040939276755046623408043450295211404333228722306866692930179793843598010984314093882177194283587957968079422144432849570990259266152171046550913199246358395413148568982539740151285130181653969937728193078003123858069246732657642461768598123638757871467852518754943904838111187066205182563330046548921953383290012521797222447193905302630959152436725458892724024756939226164609271836838210812319902147983545482687480213515946968395003369027486154497749465253382813}
0.043307	{:process 0, :type :invoke, :f :read, :value nil}
0.005824	0.049133	{:process 0, :type :ok, :f :read, :value 843879153472587825924747352411295882719257527432126610566709059659040277149882216997943726743808734751687567019608695979763046039726884632553425585094972496021193791376832194744463072224028149438598371502197555153575199905061110979229441316922201913033630943150075149270185505616129505711227326832980198641124046118689803755551861880846180604417507608075723809107114944024697447127124909201122155771174733499233146638770894222999126511073196432296285584918109231804202733306527375924537679593903346719169734571285850517599889335916924817486516292355024104238759543944993566295642164886202007151477168415256710256836557787694961679731478060285078745635597983362237594490631360154819488198626072721383566892829412370100164881276306673562965916145285413811238870437705202795521061703014138937992893413804356673845366771786478777010510947736012848635835674461383356541246047243018711271649878313960214810745268149486550758501019260662948684410369136401473786602799105963327473508161408798361830742450902661111228360150218391587}
0.052645	{:process 0, :type :invoke, :f :read, :value nil}
0.006797	0.059445	{:process 0, :type :ok, :f :read, :value 573471130815660936493277558230707276580783369384123542297231223140891079308556968534775708840364465564614681280253821393197135791569943611759706389620952897468534738091187387937091387766404288873874002752675594744413255695692981584079258008692156473963544962110517664567526952511137682098301373369937689397778881641041093131489572240491168948124429520945203163589728854950783227300396936464715689685270350892544775388236629319378805032033487965415538323354281283888201670368029695637164505933434376633891614693188094677160725352928507690070608407184822095742956909878995955927635337738404710330217207714426319942837989353306657570273916577783966974811162747704743037814582890788391529904676260686579927138109138200492051609888635529452384400440600107269279232716673122764700091201120169084575163795964546565885090208337786512083790166822500129162197897740141510739331583718846268967631975028291126497888865491209193280984823147888768764235558597017215697123022090877410297066760401182096419838817571792798584544874283946829}
0.063363	{:process 0, :type :invoke, :f :read, :value nil}
0.006916	0.070283	{:process 0, :type :ok, :f :read, :value 006435629799296924033646056574776511073042183788481747545322719560669183391991950026891335526682860781032341538762362695169749126496511768131907443604342236270019882159982105049421057591130451339856767179603565962611957192246323219139099575283467784493929574015128220197817473151511005972596118953172876713140292514034583196112621930702018368711144593124735108413583907735706940311823327837880350740616196902234346770676386511505568397019235869558715363915065744675596549026993775401803521205685434080003892181652054308620418952572673174595770175725599632449897176684065534542236985968334514243004610185641064662471424975510822283422908206684123276663317399849103503343014646063641172034910120482037350724640124333766377582652057903907361573128504352112577794695907663912455307952383632524293903679183338080975414999442863173632841304322541284873810218526819116446898244562052335357221002935571370414871178501068702902318197225566155482235553533745298007750408315863388844399873314315100370303909438534965044595938469696628}
0.074593	{:process 0, :type :invoke, :f :read, :value nil}
0.013048	0.087644	{:process 0, :type :ok, :f :read, :value 006435629799296924033646056574776511073042183788481747545322719560669183391991950026891335526682860781032341538762362695169749126496511768131907443604342236270019882159982105049421057591130451339856767179603565962611957192246323219139099575283467784493929574015128220197817473151511005972596118953172876713140292514034583196112621930702018368711144593124735108413583907735706940311823327837880350740616196902234346770676386511505568397019235869558715363915065744675596549026993775401803521205685434080003892181652054308620418952572673174595770175725599632449897176684065534542236985968334514243004610185641064662471424975510822283422908206684123276663317399849103503343014646063641172034910120482037350724640124333766377582652057903907361573128504352112577794695907663912455307952383632524293903679183338080975414999442863173632841304322541284873810218526819116446898244562052335357221002935571370414871178501068702902318197225566155482235553533745298007750408315863388844399873314315100370303909438534965044595938469696628}
0.092068	{:process 0, :type :invoke, :f :read, :value nil}
0.004573	0.096645	{:process 0, :type :ok, :f :read, :value 463436781988604135893109458227363628517617490003614946101123972246198071740742203829559861459805436233507504044338503402847949492235718560164529699932138123084507008057265739898014247052380733753780408293185286600328766851326804865884124642404757535330483065741240852546908475340093031569033279277621423283939039554912815434372056390938233136002795906762191527278462385820542912414280691873711557708490464776139757728825498564466405673160973069733737578344990653320756765361256729497451842128480655241977014608568403619024882047583871772153009070353455865069949326425850152359504872558064178203845350368715788385530358086006383038386360858807362618438249199423453281286377005488232378287349806234373202902651496825666402583228865186398875117901688220700023021741592499122834003047017031534630981123065549941265069792948531529664980736833959656557063818983069487673356663741508204807697913883840197973250502354934615516114499720418065017272667259702333083175139135658495872899961125425932745661346188795175261375837330727585}
0.100029	{:process 0, :type :invoke, :f :read, :value nil}
0.008826	0.108859	{:process 0, :type :ok, :f :read, :value 252670745449707387995317759233271730726292365113814348343268706871044763901432913478202720690208304993293358659118150524506626688078329876653874881964314999779886830748523900591707330750827727603697659042211581216511516498479750625521943203547298569130297363345119413935392033082125244192446157008694343766166388804413680415127207653130946576676230890851365107063596582441028941122107465296194464222668762777089212168907518184528096065342241392520510484202974995622178594643126179428860277879451668617001615443387385323312257535398218571116676307069510757600151275042456035867795946141901148365880227041559548035759041457205006058975052206020797623060901503100128843065997169851159149410042064069595004813918025159023027545952003833434727541056258582437044476959292876540655493563908624281976016593167244995261754748267376008859168082703249425099817777697672500521891325389001984881540209679752851985635635746134380530599664849230723387851486035098267426830056048578283643277978724768561588303362102667016703707393142510551}
0.112859	{:process 0, :type :invoke, :f :read, :value nil}
0.007515	0.120378	{:process 0, :type :ok, :f :read, :value 904310698948820942398810099884777320699403407411850633952040539472453395856517694887173399542409844195772523405983612141018368445184852126467157449873285033079507294406063980746634974677196179098550378876143728335904635562673440678467371863606398784250717271339197824102682414504959922749074103808410799162513108012486516928539372562488951271294445296010963813069439427564805341883494682083501654698374954600881142512930480547227076761332632747910103361517350267856901364658561591827180836054831441788165132283588418411226809963153161694014484227089313915813328954215946584228946079381084318123754268018632438357415713157989466902916079244370033614941660806696919537673102315676281459459211022097764095228905623980827949073273149668102194676185489186283630946024056267627465106136966221436230636272957695417240858472635458613250767657190836011970153910981328514379200483016304331825825177149598719779370902558752436963870959823710840962318103449237647832716209394500753574138254938613015657606258434783316233839812123881861}
