0.001521	{:process 0, :type :invoke, :f :read, :value nil}
0.009926	0.01145	{:process 0, :type :ok, :f :read, :value 904310698948820942398810099884777320699403407411850633952040539472453395856517694887173399542409844195772523405983612141018368445184852126467157449873285033079507294406063980746634974677196179098550378876143728335904635562673440678467371863606398784250717271339197824102682414504959922749074103808410799162513108012486516928539372562488951271294445296010963813069439427564805341883494682083501654698374954600881142512930480547227076761332632747910103361517350267856901364658561591827180836054831441788165132283588418411226809963153161694014484227089313915813328954215946584228946079381084318123754268018632438357415713157989466902916079244370033614941660806696919537673102315676281459459211022097764095228905623980827949073273149668102194676185489186283630946024056267627465106136966221436230636272957695417240858472635458613250767657190836011970153910981328514379200483016304331825825177149598719779370902558752436963870959823710840962318103449237647832716209394500753574138254938613015657606258434783316233839812123881861}
0.015299	{:process 0, :type :invoke, :f :read, :value nil}
0.005594	0.020896	{:process 0, :type :ok, :f :read, :value 260804249238815591282544391589217417933067060710838204756004925677582108804877072193588199803392242572552261980490778589680029265713970418509648837818876098147818327668441527421302101803837520652319485537299331742144438300367729667310250315589914559309538310496359374515086277825985851884845670530001511158132620128418813680655856939264079533775538422702987773388214832787264718872242460139688409902373099782580906364507565337247676997068318521157617566319255014833630683436573556222855980404087462421994763118741248766026437173338629105639525849647340105814467431563228191677841577707210677532988202142409183362233086043926116158682825943391715233869151994720688081587136209933231276567060020029307010852057591638496212436431591494601906658911752695058724873124584894781574870331857721308832203794362510919144539422574558870369705078280126799633080755755781763482323555324389817984650128516866318683317746659547122146218814745523156841626572414820541353949692129734016896037729996143637718921116527126750624833467742623437}
0.024077	{:process 0, :type :invoke, :f :read, :value nil}
0.007744	0.031824	{:process 0, :type :ok, :f :read, :value 867344588334841892183085200181889723194139834935343762484724803787316931816220956345793167868138089674067809807751222558534360360450978850040717039307350007255400417293319502317467115437153823166817369439682530344087715227735338194230328871828248242964849392221845809788061015151348924853098404984072801104719865857254866606216736116438822928416151859431264857661414318710773311796850078673449782134107386737026613830690954124358960800594296179482742769372929726008079400339277562958087489471274281143376226092288208958096215835160599313112652493408317950435261232373707164404776507412677196439678169875518905575536993725368447363263716527086750341934680435263789071933853438485698059202940210447532010673621103228160564708742617140107489701045972920610487840554564225407721330554715973659707375098550232368333706213788670507106152377723578860401971768731443379708483950749909029495298535984055095380676769691530271337045441162623700577436511858101805671780152442719664437535355536293683620064256314957901448911753233615614}
0.035614	{:process 0, :type :invoke, :f :read, :value nil}
0.009459	0.045075	{:process 0, :type :ok, :f :read, :value 408739735684486787837457027173333328391879240818893560485294557089810997133326326894964486851579653664598142776565971411018385442721472207686234751114417365001503643083743667052483036084706956430940534890726184689407888575339635680180364192662703711760213378846175103722900371842110161791505212942416826954060472698989039770186647231929345502763771787874195759792886730292788088476153764261231639315556824834691427095441886960013778371076465607328094474061282561418518164826759778215823963421583434460862459327360054361903063328066062507461398405851964472724722358500446808840347644203407072217289553335311366342772214124365215160713256482017406847361790421939000555496819752336382452696711834189840433608843492739101992005615590763025021460856788897027580362338862564722700588360192060396522320786159549529656685893843797120198925871033991759430834123837068860560965484551726701434919746724000099557114206076131735929793193314280993433232176261753622034575014215779014423250325618913562084607276197740187129682693242472033}
0.048134	{:process 0, :type :invoke, :f :read, :value nil}
0.007731	0.055868	{:process 0, :type :ok, :f :read, :value 408739735684486787837457027173333328391879240818893560485294557089810997133326326894964486851579653664598142776565971411018385442721472207686234751114417365001503643083743667052483036084706956430940534890726184689407888575339635680180364192662703711760213378846175103722900371842110161791505212942416826954060472698989039770186647231929345502763771787874195759792886730292788088476153764261231639315556824834691427095441886960013778371076465607328094474061282561418518164826759778215823963421583434460862459327360054361903063328066062507461398405851964472724722358500446808840347644203407072217289553335311366342772214124365215160713256482017406847361790421939000555496819752336382452696711834189840433608843492739101992005615590763025021460856788897027580362338862564722700588360192060396522320786159549529656685893843797120198925871033991759430834123837068860560965484551726701434919746724000099557114206076131735929793193314280993433232176261753622034575014215779014423250325618913562084607276197740187129682693242472033}
0.059627	{:process 0, :type :invoke, :f :read, :value nil}
0.005605	0.065236	{:process 0, :type :ok, :f :read, :value 681972974948646355744866787005365475964579333178865241131054780340036404337866944490703020408735730571134111707466458061221116889848953667967826563389614745526620547026714796364623886480934708772774577149795377878416631201100390847751642499187140713136446505781678944183013958049554109779449706592122726041845991413500676748329851225839935755818160327994746643776271476941642470502493880646033851910516772149211650260424047624936199788192033101327369966648234043933044468878922678766341476893316611059057861029027972011810143824152057964388212900323607723026733950878409540752994354248570365851950900854029240698114961227704010012017621845016847356698670274205626590995498104051631698927367830601992463493890984043037864769959041407846347455862185164762659783825729365301889017826492677675170752808430728642524166555532240217707763837691064502359822157390080966241920137709134139364295314512438550885775680216172792343906362117317984664796505706131743371502436126593282834524149415744824368102773093496149785926422124553583}
0.068676	{:process 0, :type :invoke, :f :read, :value nil}
0.008208	0.076886	{:process 0, :type :ok, :f :read, :value 894057637849350985899184230577158775639635572681390500956203110989465528087366697847962704015005162644544490070766772144665187994368914456483671568984440978768316319956514904050148704822890842493380041653078305385887268254695934950317646777427125141998658153768711605374217929636755630647146117207034477362527114697854868471123926565523777689168066644484808110088530927617723840614275655698696562776767431016079606184853834702980756519813632504435040325996306303154356621091537033285797539189406932714835289104445144899838970685876481922032779283894097087067545303425640119057568987986684359001545230263161139947735515970070456971907535648565238902499628863453875548105171616708169221009667944420430969230022838852974932847401454662597519704781999304589429566123694345335923115065446508787311671017663155769487133704874517895108984419908046861134711384196606416057158974650996389728359919771376103101588879438302337238227566196728876856811653886531554422031803702590371436737600957519734017507888835180075755972823926520280}
0.080637	{:process 0, :type :invoke, :f :read, :value nil}
0.009147	0.089787	{:process 0, :type :ok, :f :read, :value 428618608524383518736015055227361352115187515088851655170694643978401919680300185460987968625922765078937167198654854761523037505022817745754730337805980483256778262956524119353233841882309907045430005626651986480889011933857391613185963371911299112415812751013443939266589609732075777052375619112059837899992191769466625187220425530412301510908047829359071046899840072355346242125052980386985899099236982528832559757988596395497332122387380538523423494123872727149499337302175649188711008492136178203053493977815787099050273102924242791000993582403300347759164608809100121779111463417405323784866776900077180248710770422722308997898817838872755922965459699700489493476273660254670318299369410579818635224269728989929865828096909965607033227035030136830739549438908803147951676689483458623796508491925730009687756293178457209168281954056137902753261026948977715012737542232429857179976963657388751405651193290020917735312050827990675706338550544447178495670681660361916761047401320189968926203231552140444407559899985898618}
0.093479	{:process 0, :type :invoke, :f :read, :value nil}
0.009895	0.103377	{:process 0, :type :ok, :f :read, :value 428618608524383518736015055227361352115187515088851655170694643978401919680300185460987968625922765078937167198654854761523037505022817745754730337805980483256778262956524119353233841882309907045430005626651986480889011933857391613185963371911299112415812751013443939266589609732075777052375619112059837899992191769466625187220425530412301510908047829359071046899840072355346242125052980386985899099236982528832559757988596395497332122387380538523423494123872727149499337302175649188711008492136178203053493977815787099050273102924242791000993582403300347759164608809100121779111463417405323784866776900077180248710770422722308997898817838872755922965459699700489493476273660254670318299369410579818635224269728989929865828096909965607033227035030136830739549438908803147951676689483458623796508491925730009687756293178457209168281954056137902753261026948977715012737542232429857179976963657388751405651193290020917735312050827990675706338550544447178495670681660361916761047401320189968926203231552140444407559899985898618}
0.108145	{:process 0, :type :invoke, :f :read, :value nil}
0.007943	0.116093	{:process 0, :type :ok, :f :read, :value 975321667678831362297184954505314066133812897925365075480052886282927421830645381089557773053604016050153338876076951821326708339956982315304902519911056848771688396748470962123234331915802170220814854840074597030344944383607888294870908557572719123853113994943322432410369632756252665977371825181522768941318033212939668773501676852868991096338731999798068426021409418518171146458437253117911273114968705131987722669991882102413910702435733407874883194504758161351797262832531132743125790508853024971156521945331643133415293815204531394500035191724065715018839214643213216957020448211742728669145667200095899045069253427215340926849878658774372499963804340553459336313192742983099472028183640795627168432652151110322150636805380006061246654985939264427300868860678814600090814730295127133232401504964196297862001746579014264536023464203981104588335237885330152428048368799147972617507253268732737893864799608062044781019104378259747236328324520129242452811837733658200235719923078213616800795260002335826911340163654334524}
