0.001271	{:process 2, :type :invoke, :f :read, :value nil}
0.00852	0.009794	{:process 2, :type :ok, :f :read, :value 904310698948820942398810099884777320699403407411850633952040539472453395856517694887173399542409844195772523405983612141018368445184852126467157449873285033079507294406063980746634974677196179098550378876143728335904635562673440678467371863606398784250717271339197824102682414504959922749074103808410799162513108012486516928539372562488951271294445296010963813069439427564805341883494682083501654698374954600881142512930480547227076761332632747910103361517350267856901364658561591827180836054831441788165132283588418411226809963153161694014484227089313915813328954215946584228946079381084318123754268018632438357415713157989466902916079244370033614941660806696919537673102315676281459459211022097764095228905623980827949073273149668102194676185489186283630946024056267627465106136966221436230636272957695417240858472635458613250767657190836011970153910981328514379200483016304331825825177149598719779370902558752436963870959823710840962318103449237647832716209394500753574138254938613015657606258434783316233839812123881861}
0.013138	{:process 2, :type :invoke, :f :read, :value nil}
0.008402	0.021544	{:process 2, :type :ok, :f :read, :value 260804249238815591282544391589217417933067060710838204756004925677582108804877072193588199803392242572552261980490778589680029265713970418509648837818876098147818327668441527421302101803837520652319485537299331742144438300367729667310250315589914559309538310496359374515086277825985851884845670530001511158132620128418813680655856939264079533775538422702987773388214832787264718872242460139688409902373099782580906364507565337247676997068318521157617566319255014833630683436573556222855980404087462421994763118741248766026437173338629105639525849647340105814467431563228191677841577707210677532988202142409183362233086043926116158682825943391715233869151994720688081587136209933231276567060020029307010852057591638496212436431591494601906658911752695058724873124584894781574870331857721308832203794362510919144539422574558870369705078280126799633080755755781763482323555324389817984650128516866318683317746659547122146218814745523156841626572414820541353949692129734016896037729996143637718921116527126750624833467742623437}
0.025006	{:process 2, :type :invoke, :f :read, :value nil}
0.007571	0.03258	{:process 2, :type :ok, :f :read, :value 260804249238815591282544391589217417933067060710838204756004925677582108804877072193588199803392242572552261980490778589680029265713970418509648837818876098147818327668441527421302101803837520652319485537299331742144438300367729667310250315589914559309538310496359374515086277825985851884845670530001511158132620128418813680655856939264079533775538422702987773388214832787264718872242460139688409902373099782580906364507565337247676997068318521157617566319255014833630683436573556222855980404087462421994763118741248766026437173338629105639525849647340105814467431563228191677841577707210677532988202142409183362233086043926116158682825943391715233869151994720688081587136209933231276567060020029307010852057591638496212436431591494601906658911752695058724873124584894781574870331857721308832203794362510919144539422574558870369705078280126799633080755755781763482323555324389817984650128516866318683317746659547122146218814745523156841626572414820541353949692129734016896037729996143637718921116527126750624833467742623437}
0.036777	{:process 2, :type :invoke, :f :read, :value nil}
0.005479	0.04226	{:process 2, :type :ok, :f :read, :value 867344588334841892183085200181889723194139834935343762484724803787316931816220956345793167868138089674067809807751222558534360360450978850040717039307350007255400417293319502317467115437153823166817369439682530344087715227735338194230328871828248242964849392221845809788061015151348924853098404984072801104719865857254866606216736116438822928416151859431264857661414318710773311796850078673449782134107386737026613830690954124358960800594296179482742769372929726008079400339277562958087489471274281143376226092288208958096215835160599313112652493408317950435261232373707164404776507412677196439678169875518905575536993725368447363263716527086750341934680435263789071933853438485698059202940210447532010673621103228160564708742617140107489701045972920610487840554564225407721330554715973659707375098550232368333706213788670507106152377723578860401971768731443379708483950749909029495298535984055095380676769691530271337045441162623700577436511858101805671780152442719664437535355536293683620064256314957901448911753233615614}
0.046393	{:process 2, :type :invoke, :f :read, :value nil}
0.007982	0.054381	{:process 2, :type :ok, :f :read, :value 408739735684486787837457027173333328391879240818893560485294557089810997133326326894964486851579653664598142776565971411018385442721472207686234751114417365001503643083743667052483036084706956430940534890726184689407888575339635680180364192662703711760213378846175103722900371842110161791505212942416826954060472698989039770186647231929345502763771787874195759792886730292788088476153764261231639315556824834691427095441886960013778371076465607328094474061282561418518164826759778215823963421583434460862459327360054361903063328066062507461398405851964472724722358500446808840347644203407072217289553335311366342772214124365215160713256482017406847361790421939000555496819752336382452696711834189840433608843492739101992005615590763025021460856788897027580362338862564722700588360192060396522320786159549529656685893843797120198925871033991759430834123837068860560965484551726701434919746724000099557114206076131735929793193314280993433232176261753622034575014215779014423250325618913562084607276197740187129682693242472033}
0.057495	{:process 2, :type :invoke, :f :read, :value nil}
