0.001273	{:process 0, :type :invoke, :f :read, :value nil}
0.004688	0.005964	{:process 0, :type :ok, :f :read, :value 284230071034400169613703831589319852051375827056047519924273336211638878572477091955967304837470736613680839539756242994587546529103661846892987503994372227871911299683464653523815364706685798028906444919463974622092682471285095660253111408092494882041461991777704217387408678258482628739007997530270231090025883267363283985638967900202216814343391619137693709609741974576102651714737699989051146333702534920211784676564571885410912188600641712209855424813376679880840824208440545200783040807808892097617673647277446760742742523943616594860507543119306570925549802462068140094407357925239783666934350384393755400122846816373988333464093460920262646447107697451917317855878916192047777638473584426123912925535759638511450928672405918200955451536397653647726967660401498065339998653149114700678738080808453342320864975347436200320300365691943121528255118060092244271952267779941989420428627863582698034704918019151423287293543024827409091112059191630351835157759491520634039260523751856361236297569632255193355622917565698419}
0.007657	{:process 0, :type :invoke, :f :read, :value nil}
0.00385	0.011509	{:process 0, :type :ok, :f :read, :value 884170615097374932637407132551951460641460199802065026731216503961935371383363792594380421083570685112472921390741371514632201269791168352401678937189574995033923239086457636439140297908601993428546293977530766717427287598042899610027782958541283921871697998850874762959923363657056325034832019506913126652220947679394877000170781394189303597376415915815942942372980030411369022713226710124453841057218346468842164965097655039356277234892786915513032998413671298223823091704455778990931510660604088588870218885604690061049219837788765987767557939155560401416384170760669314129045793755016656283472538491003927618194715302221578944983085699580491083745069336152540870552400561662146664899604981980045485452728954740129382772892896357114388304098030260438847028983694244176576509525780564469477938362091641493565235313971829714572991375426772408151468550644121330567221919351388424301368790033202044156213542596028377176171703928553104559910532669388916188490457087435548721989117929739501746544410186968278281904077259326192}
0.013277	{:process 0, :type :invoke, :f :read, :value nil}
0.004799	0.01808	{:process 0, :type :ok, :f :read, :value 016759062922689978480018252217749516534726106194934165182323327470045547157889492810520783215054059603548547406889954942465160697778044010970660777181557066247016810424611699898527602500337038832996559631810684564937070995780199944909202470826329048238726765859461382521513367483306191987464501651024177723483813644732690342639731158022380664130724115140503496533537776052497460083619871110973527226843104041271554431765872126050834264891910295730016513948873858597186297246912935716302109695466374924960561976657280710671337077689075053361238158149218563562231350085432757772509620688935470505705569956623074958118033570742215063959511121736750653120494637334721605939002977954276437091756321501214146333341780423344419173245567171726250338390626179206640198027190715950709972501523109420442281272979040149519663104068002220560087901117071157579195928342629629319650659795664673385332694758601596754745401880348171333908961030717301841942176183239729838941134866940254464072616590674480893479185300858275658209598136137406}
0.020052	{:process 0, :type :invoke, :f :read, :value nil}
0.004243	0.024327	{:process 0, :type :ok, :f :read, :value 054267739246222612678122005309516952827762686877156178698321204019403191372061796603463597639051193614742968047929288739715630740221707114920832950754727201287420592503917910318303997737087720901154745459580512812705403496416541117962830081284474016558119993007793178178328965686464277376999698108127979968448294814673282143276080999187942961452811359795132932943053767964021524659820353848253850157945577849224308464960088365500297764648582113279695895644494425113787757098518697176860209863307697572291342123051639681767127009788927353785180445523600534334422215962443171118882244499842484708416850169392380524264160609291053740957108338412830446729858956240365276201144559616208383489025053790323759106168710569907009727106350647668296289356248161063975601875653674422458294003329728408787362822394731570290532606466247293678827402579598761223862516235794507449608770656971557720363045417361443321386195262035283807351207351783033645371597217698543665320790293870329678501381137604156447678277229186148296302382719554443}
0.026011	{:process 0, :type :invoke, :f :read, :value nil}
0.003841	0.029855	{:process 0, :type :ok, :f :read, :value 054267739246222612678122005309516952827762686877156178698321204019403191372061796603463597639051193614742968047929288739715630740221707114920832950754727201287420592503917910318303997737087720901154745459580512812705403496416541117962830081284474016558119993007793178178328965686464277376999698108127979968448294814673282143276080999187942961452811359795132932943053767964021524659820353848253850157945577849224308464960088365500297764648582113279695895644494425113787757098518697176860209863307697572291342123051639681767127009788927353785180445523600534334422215962443171118882244499842484708416850169392380524264160609291053740957108338412830446729858956240365276201144559616208383489025053790323759106168710569907009727106350647668296289356248161063975601875653674422458294003329728408787362822394731570290532606466247293678827402579598761223862516235794507449608770656971557720363045417361443321386195262035283807351207351783033645371597217698543665320790293870329678501381137604156447678277229186148296302382719554443}
0.031706	{:process 0, :type :invoke, :f :read, :value nil}
0.005441	0.03715	{:process 0, :type :ok, :f :read, :value 969376249715385503811379463942968898714697346928409538604190496498481040087699439504364976937606465591891770835785333823616398955636835902287777320824185817832595198690010707430624053854549999730719822813888042478955629531604785889381661687154141605669949319007038316695300036307985079923145068811572215238060778477691906422414783906449548545405364576138571161561127372138878327974700867994162404234667646608318098076986512764407063740502543364263852635121563581875026402838476881266779157606803538178571321929365955062854434707547394758860998614312597952633507248733730041802246517413798248174967332336449965736409778513622010063299163071547387586357819242249860776273547208958503417331885763751670927977784746007963041737302481605592483859579475799894727185245024464759629666367566940678205727463840024903749695381379491983641155450060354415066303264552037264901917064615432064510987390218601704620001646063616804543784557627291311678394858458804293858532463515974924301147259879176131699950460952503649584763601216575592}
0.038882	{:process 0, :type :invoke, :f :read, :value nil}
