0.000829	{:process 0, :type :invoke, :f :read, :value nil}
0.005442	0.006273	{:process 0, :type :ok, :f :read, :value 062001952339083419082471193983789991309562482044164613944235725836067925385609026689993338012695212126864327549109218761774936457890478110884916037823190805461152319122300711516298639839476703944077319501962584669752719581875275926108294465043928399269646166880610531190824216257493359298076049312623635159774715073092811637568953416043942516233554935318087192645460774945560046451983093725909447634048726820496506005479989055718123197779038899491259367382856988419119012111273390439487885475417420351584921471426386364032573418443721115552616474003406875247083585896343525282604156735379298546327974538077457874660119139115940857202329065964640864997800616892524077195884268566965867928728902609318008647593101798602575395557608420297148579660630989630105067820161085834711786996159189987689895993608370670269896914802580692183573503760708808491091241520731208660938138918789888134586579890878081894898688596501979558530747546635314305174936124289154128095658201833541946878298325939048526566672028322901941093589585359106}
0.009859	{:process 0, :type :invoke, :f :read, :value nil}
0.005679	0.015541	{:process 0, :type :ok, :f :read, :value 500924110382743025211213548942812014447576760264708049305111523724490160956175665692524265419714373301326235793452627055816989338689921766236893068985486386219307291579112992520318069697438368200677518000272423221102046974927986657750777910464695009619301221806672861575723204904897748062162042228586070512002613487415622026269129948122322583144887649874692726811745977357962562229326795288871166675520318765909842433053040158947590721610310496860165589797811560555916169319097033501792475731987490309242341066538800367852253112365219465893666759707403920253690131207988265130002972267404863809129049965471693090238100687189093117004863125426779501669587408722542121653108777947006074914018283617773393162056967584978691411982759080517734332280900989223321718619962658201531523731754288379352440725557800174577664284011167511504271051280939605323756983844916563680908292184716003712296819465733946767185578279560982763729294801687397976916062183551824975676736667474075674102457552151738303969827356833446601689096189139447}
0.018754	{:process 0, :type :invoke, :f :read, :value nil}
0.006645	0.025401	{:process 0, :type :ok, :f :read, :value 669640427782285896881748987091250334578266497996876941941640087020679406367286864770084161369063241193921649547134132869197216650991285371548251987183295248804093233760134961052780332056856277790198302098115515648845642470169170932131165826402406062401418647650193202714354594312862925789576785328529174755309587989650727307959703631206956805513770743675580652035157752554035502698177626881087512409667080542921938612290611384725983683657861154117368549699361051331696694729433361227306354652885977836229484921065797523998199906681435594088304093748239378460249384043663493892486431360308322473097365804115555398746776820099399255937358003842638305180419368413107964766142535488196159016159499385954680065623435270491209178206003482680262727274514836763786586946336373745492945520326797377164717366830691887652694585234140533489094354434212683231976402665005114849205846006521828489647347980366507281814568652790865591401767319038439805890182160839090168109024069960759989395380509736548670079997184292134862814887654613610}
0.027615	{:process 0, :type :invoke, :f :read, :value nil}
0.00705	0.034668	{:process 0, :type :ok, :f :read, :value 669640427782285896881748987091250334578266497996876941941640087020679406367286864770084161369063241193921649547134132869197216650991285371548251987183295248804093233760134961052780332056856277790198302098115515648845642470169170932131165826402406062401418647650193202714354594312862925789576785328529174755309587989650727307959703631206956805513770743675580652035157752554035502698177626881087512409667080542921938612290611384725983683657861154117368549699361051331696694729433361227306354652885977836229484921065797523998199906681435594088304093748239378460249384043663493892486431360308322473097365804115555398746776820099399255937358003842638305180419368413107964766142535488196159016159499385954680065623435270491209178206003482680262727274514836763786586946336373745492945520326797377164717366830691887652694585234140533489094354434212683231976402665005114849205846006521828489647347980366507281814568652790865591401767319038439805890182160839090168109024069960759989395380509736548670079997184292134862814887654613610}
0.039067	{:process 0, :type :invoke, :f :read, :value nil}
0.005155	0.044224	{:process 0, :type :ok, :f :read, :value 253164551013221477019341747428256764232555099137858984280945960738271646145070975965303697195361108465079709996695145725456284395333853043934715230804560380712457853159665046661863210440524781466992158682441647969135409898956556983061407561380413953932949526314710061839969921428932348390932425643727945858102217451482597939606098904610422843708078328013275897687358313529012129153156575275145192126698611023948256025573089618032691672877181208821580888760775954022529458570573851831938107602026490636405665160455648651511935685840401089505742226183236550230716068386258923447076611286419401209037772796030850613942883955276101091260893190352668048345165705006152151680717104100964573265765382718906190900510526293711288938219229838840893156775367687493236458363448457864653109079039382928954210087065423853782988836248235857985883427724222712595139164640550048580455977148619122358723970904752009519445207341577661168178676098049103646570749605733551630459255385859408492355128405768704641170677727587824357397975747333542}
0.046983	{:process 0, :type :invoke, :f :read, :value nil}
0.006252	0.053237	{:process 0, :type :ok, :f :read, :value 478985413200317912881688340366326316077300551344524803839197749572279929187411886366860971675522941863091744822470377566643116302690910384986256485332098300150411422472071916556019430582509762924372691982539362425474846722934583943031407435679239813487892251845351693559246262363804603040125972243519443381519011491005010727943505641199442353413535066031055305082391438685228792298023140972600831286264708777119941575564836030270898589368170096363010413328566545396432341562198492653187033600369904330586917886244562568048074075420771392172997365633647446165638807956465686515098554201937610492218076654418937093435548519770011020806349344045509085038106427749839686710116778896529452096771974032603836605505169304524393402815297580443915431563035667137310060730976278833191514272905939935928116845848159220857047832957669681485969076919096910916103989057195893912603722326337168478483393184475937220752317023091959200718388873816881212927426533683757715514995574617109854629997485156817409076650362569922033881396109049968}
0.056171	{:process 0, :type :invoke, :f :read, :value nil}
0.008015	0.064189	{:process 0, :type :ok, :f :read, :value 926929009764187488532414980446168970873041679319184625243300936025222528895748986341187417630454976159130634644578807570433488878615728713477847929876830478477248933034373378282162875013052708892397754203224550759250758250251681378998342999185102300127362530867668612003111842184398054207284160923443756941359700705125965571783049525139466356628150948495665180334877915772536361578327806536760369250927192721178902804480156315230435444649976869249719745596031374811407594492326499485134947077570830592951385144104818304231900085236441879386016400452875195313938502701832453325360570189820235085575661828452981248476350573204051739022987376412259104374906321694608816546397535645383995527688268341926757530297747236988868795541733511284405190843654440511285371722862434965171737103354574224318795150576383477307664213755197188606873503871703679012388119839819427779376677936147598301406490552239488045759365324175245906952107245241846995427856580190908338054790874766208914564893095828855224534900743636202802313897602147792}
0.066561	{:process 0, :type :invoke, :f :read, :value nil}
0.012894	0.079458	{:process 0, :type :ok, :f :read, :value 926929009764187488532414980446168970873041679319184625243300936025222528895748986341187417630454976159130634644578807570433488878615728713477847929876830478477248933034373378282162875013052708892397754203224550759250758250251681378998342999185102300127362530867668612003111842184398054207284160923443756941359700705125965571783049525139466356628150948495665180334877915772536361578327806536760369250927192721178902804480156315230435444649976869249719745596031374811407594492326499485134947077570830592951385144104818304231900085236441879386016400452875195313938502701832453325360570189820235085575661828452981248476350573204051739022987376412259104374906321694608816546397535645383995527688268341926757530297747236988868795541733511284405190843654440511285371722862434965171737103354574224318795150576383477307664213755197188606873503871703679012388119839819427779376677936147598301406490552239488045759365324175245906952107245241846995427856580190908338054790874766208914564893095828855224534900743636202802313897602147792}
0.082268	{:process 0, :type :invoke, :f :read, :value nil}
